n_drones,survival_rate,mean_drones_lost,mean_miss_distance,n_trials
0,0.8166666666666667,0.0,31.582480580021542,60
1,0.85,0.0,28.394275138670768,60
2,0.7166666666666667,0.0,27.298694785356364,60
3,0.8166666666666667,0.0,63.03251963853761,60
4,0.8166666666666667,0.0,64.29629208730492,60
6,0.8333333333333334,0.0,61.02558537600726,60
8,0.9333333333333333,0.0,75.67984449148197,60
