n_drones,trial,mothership_survived,n_drones_lost,time_to_resolution,min_miss_distance
0,0,False,0,18.950000000000134,14.76305379643437
0,1,True,0,90.04999999999703,25.656355894220695
0,2,False,0,18.75000000000013,3.5068156579309266
0,3,True,0,90.04999999999703,41.196516830827235
0,4,False,0,18.950000000000134,1.7171089984642205
0,5,True,0,90.04999999999703,38.61039073338196
0,6,False,0,18.75000000000013,0.48143482300234014
0,7,True,0,90.04999999999703,53.681777998282904
0,8,True,0,90.04999999999703,16.718942466714967
0,9,True,0,90.04999999999703,31.146503027435955
0,10,True,0,90.04999999999703,46.81198163674996
0,11,True,0,90.04999999999703,39.65620702266359
0,12,True,0,90.04999999999703,28.026182787131933
0,13,False,0,19.150000000000137,8.123632804140355
0,14,False,0,19.100000000000136,0.43518238994588115
0,15,True,0,90.04999999999703,35.81301236930096
0,16,True,0,90.04999999999703,23.85940002257858
0,17,True,0,90.04999999999703,31.412147979338357
0,18,True,0,90.04999999999703,15.807267691900803
0,19,True,0,90.04999999999703,24.53498716138783
0,20,False,0,18.800000000000132,11.750790037985713
0,21,False,0,18.800000000000132,6.749726247748431
0,22,True,0,90.04999999999703,48.17967716852654
0,23,True,0,90.04999999999703,50.17509811278677
0,24,True,0,90.04999999999703,24.535093510143867
0,25,True,0,90.04999999999703,26.726795056907243
0,26,True,0,90.04999999999703,33.23319258677174
0,27,True,0,90.04999999999703,52.95931142325855
0,28,True,0,90.04999999999703,15.312303029755672
0,29,False,0,18.75000000000013,1.0319248712350435
0,30,True,0,90.04999999999703,33.6763703798974
0,31,True,0,90.04999999999703,19.737302289756048
0,32,True,0,90.04999999999703,21.285906238004653
0,33,False,0,18.75000000000013,0.439156846130363
0,34,True,0,90.04999999999703,50.714712343893716
0,35,True,0,90.04999999999703,22.936491203061422
0,36,False,0,18.850000000000133,5.460139945837174
0,37,True,0,90.04999999999703,44.94653117738234
0,38,True,0,90.04999999999703,39.53184997493174
0,39,True,0,90.04999999999703,43.989162197654615
0,40,True,0,90.04999999999703,30.09140122960796
0,41,False,0,19.000000000000135,2.598681609553591
0,42,True,0,90.04999999999703,47.28083583994331
0,43,False,0,19.000000000000135,0.7962659073479608
0,44,True,0,90.04999999999703,31.073152503568085
0,45,False,0,18.75000000000013,3.35315028720297
0,46,True,0,90.04999999999703,45.76944345220224
0,47,True,0,90.04999999999703,17.41309648342036
0,48,True,0,90.04999999999703,39.655497358545645
0,49,True,0,90.04999999999703,29.846157954568863
0,50,True,0,90.04999999999703,33.65666181977832
0,51,False,0,18.75000000000013,4.30713745522636
0,52,False,0,19.150000000000137,3.9943374071100664
0,53,True,0,90.04999999999703,37.047476294109416
0,54,False,0,18.75000000000013,3.798517680789502
0,55,True,0,90.04999999999703,15.7306892213615
0,56,True,0,90.04999999999703,30.29744243176914
0,57,True,0,90.04999999999703,47.907629081429455
0,58,True,0,90.04999999999703,31.074708170522975
0,59,False,0,19.050000000000136,5.0690959663683754
1,0,True,0,30.6500000000003,31.83400420391992
1,1,False,0,19.100000000000136,9.745973620988737
1,2,True,0,30.6500000000003,21.18252771999613
1,3,True,0,30.400000000000297,31.369609140387112
1,4,True,0,30.6500000000003,18.58180944212053
1,5,True,0,30.6500000000003,36.10985048980342
